GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteCollection,418,0,2,0,37,0,28,0,27,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedRandomAccessByteList,38,0,0,0,8,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleShortMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteObjectMap,506,0,6,0,53,0,33,0,30,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntByteMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleCharMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongObjectMap,506,0,6,0,53,0,33,0,30,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongCharMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteList,717,0,2,0,63,0,42,0,41,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedObjectShortMap,560,0,6,0,56,0,36,0,33,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortByteMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedRandomAccessIntList,38,0,0,0,8,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatList,717,0,2,0,63,0,42,0,41,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatSet,42,0,0,0,6,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharLongMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatObjectMap,506,0,6,0,53,0,33,0,30,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortDoubleMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedObjectCharMap,560,0,6,0,56,0,36,0,33,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatCharMap,564,0,6,0,57,0,37,0,34,0
